Index,County,date,other,other,black,white,other,missing,Suppressed
1,Alamance,4/24/2023,0,0,0,0,0,,
2,Alamance,4/17/2023,0,0,0,3,0,0,
3,Alamance,4/10/2023,0,1,6,5,2,0,
4,Alamance,4/3/2023,0,0,2,2,4,2,
5,Alamance,3/27/2023,0,0,2,4,1,2,
6,Alamance,3/20/2023,0,1,5,5,1,2,
7,Alamance,3/13/2023,0,1,2,11,2,2,
8,Alamance,3/6/2023,0,0,5,7,2,1,
9,Alamance,2/27/2023,0,0,4,6,0,5,
10,Alamance,2/20/2023,0,0,7,5,4,3,
11,Alamance,2/13/2023,0,0,1,4,3,4,
12,Alamance,2/6/2023,0,0,4,3,2,6,
13,Alamance,1/30/2023,0,0,1,11,4,1,
14,Alamance,1/23/2023,0,2,1,11,0,2,
15,Alamance,1/16/2023,0,0,4,8,4,2,
16,Alamance,1/9/2023,0,2,15,8,2,7,
17,Alamance,1/2/2023,1,1,11,14,1,7,
18,Alamance,12/26/2022,0,1,4,8,1,2,
19,Alamance,12/19/2022,0,0,8,6,1,1,
20,Alamance,12/12/2022,0,0,8,10,6,5,
21,Alamance,12/5/2022,0,0,5,10,5,4,
22,Alamance,11/28/2022,0,1,16,12,9,4,
23,Alamance,11/21/2022,0,0,2,14,3,4,
24,Alamance,11/14/2022,0,0,14,19,10,4,
25,Alamance,11/7/2022,0,1,11,15,3,2,
26,Alamance,10/31/2022,1,1,18,21,9,2,
27,Alamance,10/24/2022,1,1,11,24,9,2,
28,Alamance,10/17/2022,0,0,12,16,3,5,
29,Alamance,10/10/2022,0,4,9,16,10,3,
30,Alamance,10/3/2022,1,1,9,12,7,7,
31,Alamance,9/26/2022,0,2,18,23,6,9,
32,Alamance,9/19/2022,0,1,16,29,10,3,
33,Alamance,9/12/2022,0,2,15,22,4,8,
34,Alamance,9/5/2022,0,4,13,22,7,6,
35,Alamance,8/29/2022,0,5,17,23,10,5,
36,Alamance,8/22/2022,1,3,24,43,11,8,
37,Alamance,8/15/2022,1,0,23,39,16,5,
38,Alamance,8/8/2022,1,1,22,43,18,10,
39,Alamance,8/1/2022,0,2,42,44,8,14,
40,Alamance,7/25/2022,1,4,27,59,18,10,
41,Alamance,7/18/2022,0,6,36,55,16,14,
42,Alamance,7/11/2022,0,3,20,54,14,8,
43,Alamance,7/4/2022,1,3,30,54,11,11,
44,Alamance,6/27/2022,0,3,29,47,18,7,
45,Alamance,6/20/2022,0,1,22,56,16,5,
46,Alamance,6/13/2022,2,3,25,19,9,3,
47,Alamance,6/6/2022,0,0,25,20,11,4,
48,Alamance,5/30/2022,1,0,18,21,5,5,
49,Alamance,5/23/2022,2,0,26,32,11,3,
50,Alamance,5/16/2022,0,0,25,29,9,4,
51,Alamance,5/9/2022,0,2,22,16,16,3,
52,Alamance,5/2/2022,0,0,17,29,7,1,
53,Alamance,4/25/2022,0,1,24,32,8,0,
54,Alamance,4/18/2022,0,0,17,28,11,3,
55,Alamance,4/11/2022,0,1,21,28,13,3,
56,Alamance,4/4/2022,1,0,13,27,21,7,
57,Alamance,3/28/2022,0,1,35,29,11,8,
58,Alamance,3/21/2022,0,0,26,28,13,6,
59,Alamance,3/14/2022,0,2,24,39,26,7,
60,Alamance,3/7/2022,0,3,40,65,19,5,
61,Alamance,2/28/2022,0,6,46,59,31,2,
62,Alamance,2/21/2022,0,5,58,71,33,10,
63,Alamance,2/14/2022,0,1,44,69,31,7,
64,Alamance,2/7/2022,3,1,62,91,34,8,
65,Alamance,1/31/2022,3,6,68,103,61,12,
66,Alamance,1/24/2022,4,4,95,121,90,14,
67,Alamance,1/17/2022,1,3,76,121,59,15,
68,Alamance,1/10/2022,3,9,119,277,90,29,
69,Alamance,1/3/2022,2,12,142,266,96,29,
70,Alamance,12/27/2021,4,14,174,254,100,37,
71,Alamance,12/20/2021,7,6,120,207,54,47,
72,Alamance,12/13/2021,3,9,98,206,73,33,
73,Alamance,12/6/2021,1,10,149,231,93,49,
74,Alamance,11/29/2021,3,12,143,230,83,52,
75,Alamance,11/22/2021,1,5,98,189,73,56,
76,Alamance,11/15/2021,5,27,225,485,162,96,
77,Alamance,11/8/2021,6,28,237,728,160,100,
78,Alamance,11/1/2021,0,8,104,248,65,63,
79,Alamance,10/25/2021,2,5,81,198,43,31,
80,Alamance,10/18/2021,4,5,87,169,47,44,
81,Alamance,10/11/2021,2,5,94,202,53,47,
82,Alamance,10/4/2021,5,1,117,247,66,52,
83,Alamance,9/27/2021,1,6,133,286,84,71,
84,Alamance,9/20/2021,8,6,148,358,121,61,
85,Alamance,9/13/2021,4,5,185,412,103,65,
86,Alamance,9/6/2021,5,6,182,460,127,80,
87,Alamance,8/30/2021,7,18,262,719,157,85,
88,Alamance,8/23/2021,9,16,318,755,158,90,
89,Alamance,8/16/2021,12,20,359,738,265,129,
90,Alamance,8/9/2021,4,29,453,732,181,116,
91,Alamance,8/2/2021,12,18,298,676,218,93,
92,Alamance,7/26/2021,10,15,379,762,238,97,
93,Alamance,7/19/2021,12,24,247,582,144,56,
94,Alamance,7/12/2021,2,19,177,338,122,33,
95,Alamance,7/5/2021,7,15,149,312,103,31,
96,Alamance,6/28/2021,4,23,169,385,110,47,
97,Alamance,6/21/2021,7,28,211,417,96,64,
98,Alamance,6/14/2021,2,18,192,379,125,52,
99,Alamance,6/7/2021,6,22,229,430,133,49,
100,Alamance,5/31/2021,14,23,221,481,126,58,
101,Alamance,5/24/2021,5,39,351,776,221,88,
102,Alamance,5/17/2021,10,62,487,"1,252",307,131,
103,Alamance,5/10/2021,6,53,390,950,201,82,
104,Alamance,5/3/2021,10,37,318,751,131,78,
105,Alamance,4/26/2021,9,51,384,895,152,68,
106,Alamance,4/19/2021,13,62,374,"1,029",222,81,
107,Alamance,4/12/2021,16,81,460,"1,590",241,66,
108,Alamance,4/5/2021,27,182,"1,200","3,808",488,207,
109,Alamance,3/29/2021,29,154,881,"2,987",639,104,
110,Alamance,3/22/2021,38,167,"1,189","4,289","1,014",162,
111,Alamance,3/15/2021,27,153,"1,143","4,262","1,015",101,
112,Alamance,3/8/2021,30,184,"1,073","4,038",526,88,
113,Alamance,3/1/2021,14,101,813,"3,321",266,88,
114,Alamance,2/22/2021,19,55,988,"3,283",226,119,
115,Alamance,2/15/2021,10,36,357,"1,801",109,27,
116,Alamance,2/8/2021,15,68,858,"2,915",391,33,
117,Alamance,2/1/2021,9,48,665,"1,873",374,49,
118,Alamance,1/25/2021,12,50,485,"1,889",103,37,
119,Alamance,1/18/2021,14,35,498,"2,694",231,67,
120,Alamance,1/11/2021,11,25,299,"2,006",702,277,
121,Alamance,1/4/2021,15,30,269,"1,883",146,92,
122,Alamance,12/28/2020,8,23,207,947,56,102,
123,Alamance,12/21/2020,1,21,85,486,32,6,
124,Alamance,12/14/2020,1,9,11,89,6,1,
125,Alexander,4/24/2023,0,0,0,0,,0,0
126,Alexander,4/17/2023,0,0,0,0,,,1
127,Alexander,4/10/2023,0,0,0,0,,,1
128,Alexander,4/3/2023,0,0,0,0,,,1
129,Alexander,3/27/2023,0,0,0,0,,,1
130,Alexander,3/20/2023,0,0,0,0,,,0
131,Alexander,3/13/2023,0,0,0,1,1,1,0
132,Alexander,3/6/2023,0,0,0,0,,,0
133,Alexander,2/27/2023,0,0,0,0,,,2
134,Alexander,2/20/2023,0,0,0,0,,,1
135,Alexander,2/13/2023,0,0,0,3,,,0
136,Alexander,2/6/2023,0,0,0,0,,,2
137,Alexander,1/30/2023,0,0,0,0,,,1
138,Alexander,1/23/2023,0,0,0,2,,1,0
139,Alexander,1/16/2023,0,0,2,4,0,0,0
140,Alexander,1/9/2023,0,0,0,0,,,2
141,Alexander,1/2/2023,0,0,0,0,,,1
142,Alexander,12/26/2022,0,0,0,2,1,0,0
143,Alexander,12/19/2022,0,0,0,0,,,2
144,Alexander,12/12/2022,0,0,0,3,0,0,0
145,Alexander,12/5/2022,0,0,0,4,0,0,0
146,Alexander,11/28/2022,0,0,0,0,,,2
147,Alexander,11/21/2022,0,0,0,0,0,,0
148,Alexander,11/14/2022,0,0,1,5,0,0,0
149,Alexander,11/7/2022,0,0,0,0,,,2
150,Alexander,10/31/2022,0,0,0,3,1,0,0
151,Alexander,10/24/2022,0,0,0,3,0,0,0
152,Alexander,10/17/2022,0,0,0,7,0,0,0
153,Alexander,10/10/2022,0,0,0,0,,,2
154,Alexander,10/3/2022,0,0,0,0,,,1
155,Alexander,9/26/2022,0,0,0,3,0,1,0
156,Alexander,9/19/2022,0,0,0,2,1,0,0
157,Alexander,9/12/2022,0,0,0,5,0,1,0
158,Alexander,9/5/2022,0,0,0,2,0,2,0
159,Alexander,8/29/2022,0,0,0,4,1,1,0
160,Alexander,8/22/2022,0,0,1,5,1,0,0
161,Alexander,8/15/2022,0,0,0,0,,,1
162,Alexander,8/8/2022,0,0,1,2,2,2,1
163,Alexander,8/1/2022,0,0,0,4,0,1,0
164,Alexander,7/25/2022,0,0,0,0,,,2
165,Alexander,7/18/2022,0,0,2,7,1,2,0
166,Alexander,7/11/2022,0,0,1,9,3,1,0
167,Alexander,7/4/2022,0,0,0,10,1,0,0
168,Alexander,6/27/2022,0,0,0,6,0,0,0
169,Alexander,6/20/2022,0,0,3,3,0,2,0
170,Alexander,6/13/2022,0,0,1,5,0,1,0
171,Alexander,6/6/2022,0,0,1,2,0,1,2
172,Alexander,5/30/2022,0,0,0,5,0,1,0
173,Alexander,5/23/2022,0,0,0,0,,,1
174,Alexander,5/16/2022,0,0,1,4,0,1,0
175,Alexander,5/9/2022,0,0,0,1,0,1,1
176,Alexander,5/2/2022,0,0,0,3,2,0,0
177,Alexander,4/25/2022,0,0,5,7,1,0,1
178,Alexander,4/18/2022,0,0,4,6,0,0,0
179,Alexander,4/11/2022,0,0,1,3,0,2,0
180,Alexander,4/4/2022,0,0,0,1,1,1,0
181,Alexander,3/28/2022,0,0,9,9,0,0,0
182,Alexander,3/21/2022,0,0,0,9,0,,0
183,Alexander,3/14/2022,0,0,2,5,0,2,0
184,Alexander,3/7/2022,0,0,2,7,0,0,2
185,Alexander,2/28/2022,0,0,1,11,1,1,1
186,Alexander,2/21/2022,0,0,4,9,1,1,3
187,Alexander,2/14/2022,0,0,1,10,0,1,0
188,Alexander,2/7/2022,0,0,8,21,3,1,0
189,Alexander,1/31/2022,0,0,4,16,6,2,0
190,Alexander,1/24/2022,0,0,8,37,6,5,2
191,Alexander,1/17/2022,0,0,8,28,10,2,0
192,Alexander,1/10/2022,0,0,20,56,2,3,1
193,Alexander,1/3/2022,0,0,13,66,7,6,5
194,Alexander,12/27/2021,0,0,3,44,4,5,3
195,Alexander,12/20/2021,0,0,16,45,1,3,1
196,Alexander,12/13/2021,0,0,9,39,1,3,4
197,Alexander,12/6/2021,0,0,6,39,8,0,0
198,Alexander,11/29/2021,0,0,4,67,3,10,2
199,Alexander,11/22/2021,0,0,4,44,3,4,0
200,Alexander,11/15/2021,0,0,5,63,3,10,4
201,Alexander,11/8/2021,0,0,13,101,9,8,1
202,Alexander,11/1/2021,0,0,9,82,5,7,2
203,Alexander,10/25/2021,0,0,2,34,5,7,2
204,Alexander,10/18/2021,0,0,6,34,1,4,3
205,Alexander,10/11/2021,0,0,9,37,2,4,2
206,Alexander,10/4/2021,0,0,2,77,2,10,1
207,Alexander,9/27/2021,0,0,15,101,9,14,1
208,Alexander,9/20/2021,0,0,9,143,11,8,4
209,Alexander,9/13/2021,0,0,16,158,9,16,4
210,Alexander,9/6/2021,0,0,7,193,11,15,1
211,Alexander,8/30/2021,0,0,22,233,12,26,5
212,Alexander,8/23/2021,0,0,16,160,6,19,7
213,Alexander,8/16/2021,0,0,11,130,12,36,1
214,Alexander,8/9/2021,0,0,13,147,17,29,3
215,Alexander,8/2/2021,0,0,8,180,16,30,2
216,Alexander,7/26/2021,0,0,5,148,11,19,3
217,Alexander,7/19/2021,0,0,7,127,18,9,1
218,Alexander,7/12/2021,0,0,9,85,5,10,1
219,Alexander,7/5/2021,0,0,6,69,7,5,0
220,Alexander,6/28/2021,0,0,6,79,13,9,8
221,Alexander,6/21/2021,0,0,7,82,6,10,3
222,Alexander,6/14/2021,0,0,9,98,2,7,3
223,Alexander,6/7/2021,0,0,15,79,6,18,8
224,Alexander,5/31/2021,0,0,5,87,7,3,4
225,Alexander,5/24/2021,0,0,13,134,11,14,10
226,Alexander,5/17/2021,0,0,14,198,7,18,11
227,Alexander,5/10/2021,0,0,15,222,5,22,6
228,Alexander,5/3/2021,0,0,19,122,5,8,12
229,Alexander,4/26/2021,0,0,15,178,9,13,9
230,Alexander,4/19/2021,0,0,15,239,12,17,6
231,Alexander,4/12/2021,0,0,17,267,6,18,16
232,Alexander,4/5/2021,0,0,53,545,35,32,18
233,Alexander,3/29/2021,0,0,57,528,32,23,15
234,Alexander,3/22/2021,0,0,25,589,62,29,12
235,Alexander,3/15/2021,0,0,96,"1,213",43,109,18
236,Alexander,3/8/2021,0,0,213,910,48,30,34
237,Alexander,3/1/2021,0,0,48,884,28,18,16
238,Alexander,2/22/2021,0,0,58,660,15,10,2
239,Alexander,2/15/2021,0,0,17,141,4,0,2
240,Alexander,2/8/2021,0,0,35,729,10,5,6
241,Alexander,2/1/2021,0,0,20,455,25,9,6
242,Alexander,1/25/2021,0,0,49,454,42,17,9
243,Alexander,1/18/2021,0,0,37,858,15,4,6
244,Alexander,1/11/2021,0,0,28,798,16,19,4
245,Alexander,1/4/2021,0,0,8,639,7,57,6
246,Alexander,12/28/2020,0,0,9,165,5,24,3
247,Alexander,12/21/2020,0,0,1,92,1,,1
248,Alexander,12/14/2020,0,0,0,64,1,2,0
249,Alleghany,4/24/2023,0,0,0,0,,0,0
250,Alleghany,4/17/2023,0,0,0,0,0,,0
251,Alleghany,4/10/2023,0,0,0,0,,,0
252,Alleghany,4/3/2023,0,0,0,0,,0,0
253,Alleghany,3/27/2023,0,0,0,0,0,,0
254,Alleghany,3/20/2023,0,0,0,0,,,1
255,Alleghany,3/13/2023,0,0,0,0,,,0
256,Alleghany,3/6/2023,0,0,0,0,,,1
257,Alleghany,2/27/2023,0,0,0,0,,,1
258,Alleghany,2/20/2023,0,0,0,0,,,0
259,Alleghany,2/13/2023,0,0,0,0,,,0
260,Alleghany,2/6/2023,0,0,0,0,,,0
261,Alleghany,1/30/2023,0,0,0,0,,,1
262,Alleghany,1/23/2023,0,0,0,0,0,,0
263,Alleghany,1/16/2023,0,0,0,0,,,0
264,Alleghany,1/9/2023,0,0,0,2,,1,0
265,Alleghany,1/2/2023,0,0,0,0,0,0,0
266,Alleghany,12/26/2022,0,0,0,0,0,0,0
267,Alleghany,12/19/2022,0,0,0,3,0,0,1
268,Alleghany,12/12/2022,0,0,0,0,,,1
269,Alleghany,12/5/2022,0,0,0,0,,,1
270,Alleghany,11/28/2022,0,0,0,0,0,0,0
271,Alleghany,11/21/2022,0,0,0,0,0,0,0
272,Alleghany,11/14/2022,0,0,0,0,0,0,0
273,Alleghany,11/7/2022,0,0,0,0,0,0,0
274,Alleghany,10/31/2022,0,0,0,0,,,1
275,Alleghany,10/24/2022,0,0,0,0,,,1
276,Alleghany,10/17/2022,0,0,0,0,,,1
277,Alleghany,10/10/2022,0,0,0,0,0,0,0
278,Alleghany,10/3/2022,0,0,0,0,,,2
279,Alleghany,9/26/2022,0,0,0,0,0,0,0
280,Alleghany,9/19/2022,0,0,0,0,,,1
281,Alleghany,9/12/2022,0,0,0,0,,,1
282,Alleghany,9/5/2022,0,0,0,0,0,0,0
283,Alleghany,8/29/2022,0,0,0,0,0,,0
284,Alleghany,8/22/2022,0,0,0,0,,,2
285,Alleghany,8/15/2022,0,0,0,6,4,0,0
286,Alleghany,8/8/2022,0,0,0,3,1,0,0
287,Alleghany,8/1/2022,0,0,0,0,,,1
288,Alleghany,7/25/2022,0,0,0,0,,,2
289,Alleghany,7/18/2022,0,0,0,3,0,0,0
290,Alleghany,7/11/2022,0,0,0,0,,,2
291,Alleghany,7/4/2022,0,0,0,0,,,2
292,Alleghany,6/27/2022,0,0,0,2,0,2,0
293,Alleghany,6/20/2022,0,0,0,5,0,0,0
294,Alleghany,6/13/2022,0,0,0,0,,,2
295,Alleghany,6/6/2022,0,0,0,0,0,0,0
296,Alleghany,5/30/2022,0,0,0,0,,,1
297,Alleghany,5/23/2022,0,0,0,4,0,0,0
298,Alleghany,5/16/2022,0,0,0,0,,,1
299,Alleghany,5/9/2022,0,0,0,0,0,0,0
300,Alleghany,5/2/2022,0,0,0,1,1,2,0
301,Alleghany,4/25/2022,0,0,0,4,2,1,0
302,Alleghany,4/18/2022,0,0,0,2,0,1,0
303,Alleghany,4/11/2022,0,0,0,0,,,2
304,Alleghany,4/4/2022,0,0,0,0,,,1
305,Alleghany,3/28/2022,0,0,0,0,0,0,0
306,Alleghany,3/21/2022,0,0,0,3,0,0,0
307,Alleghany,3/14/2022,0,0,0,0,,,1
308,Alleghany,3/7/2022,0,0,0,5,0,0,0
309,Alleghany,2/28/2022,0,0,0,5,0,0,0
310,Alleghany,2/21/2022,0,0,0,5,2,2,2
311,Alleghany,2/14/2022,0,0,0,7,0,2,0
312,Alleghany,2/7/2022,0,0,0,11,6,3,1
313,Alleghany,1/31/2022,0,0,0,10,0,3,1
314,Alleghany,1/24/2022,0,0,0,13,5,2,0
315,Alleghany,1/17/2022,0,0,0,5,0,0,1
316,Alleghany,1/10/2022,0,0,0,19,6,4,0
317,Alleghany,1/3/2022,0,0,0,20,5,3,1
318,Alleghany,12/27/2021,0,0,0,13,3,2,2
319,Alleghany,12/20/2021,0,0,0,14,1,3,2
320,Alleghany,12/13/2021,0,0,0,24,3,0,5
321,Alleghany,12/6/2021,0,0,0,23,2,1,0
322,Alleghany,11/29/2021,0,0,0,30,4,7,1
323,Alleghany,11/22/2021,0,0,0,29,7,2,0
324,Alleghany,11/15/2021,0,0,0,50,1,3,0
325,Alleghany,11/8/2021,0,0,0,28,5,1,0
326,Alleghany,11/1/2021,0,0,0,19,26,11,0
327,Alleghany,10/25/2021,0,0,0,12,3,8,0
328,Alleghany,10/18/2021,0,0,0,10,2,6,0
329,Alleghany,10/11/2021,0,0,0,17,38,10,1
330,Alleghany,10/4/2021,0,0,0,13,1,5,0
331,Alleghany,9/27/2021,0,0,0,25,15,11,0
332,Alleghany,9/20/2021,0,0,0,22,4,5,0
333,Alleghany,9/13/2021,0,0,0,27,2,10,1
334,Alleghany,9/6/2021,0,0,0,48,4,13,1
335,Alleghany,8/30/2021,0,0,0,86,12,15,1
336,Alleghany,8/23/2021,0,0,0,91,8,27,4
337,Alleghany,8/16/2021,0,0,0,55,3,23,1
338,Alleghany,8/9/2021,0,0,0,47,5,20,1
339,Alleghany,8/2/2021,0,0,0,52,7,6,5
340,Alleghany,7/26/2021,0,0,0,31,106,8,2
341,Alleghany,7/19/2021,0,0,0,30,1,1,1
342,Alleghany,7/12/2021,0,0,0,19,1,1,1
343,Alleghany,7/5/2021,0,0,0,18,2,5,1
344,Alleghany,6/28/2021,0,0,0,23,1,6,0
345,Alleghany,6/21/2021,0,0,0,19,3,45,1
346,Alleghany,6/14/2021,0,0,0,18,0,11,0
347,Alleghany,6/7/2021,0,0,0,43,17,11,5
348,Alleghany,5/31/2021,0,0,0,25,2,3,0
349,Alleghany,5/24/2021,0,0,0,35,11,7,2
350,Alleghany,5/17/2021,0,0,0,61,8,58,1
351,Alleghany,5/10/2021,0,0,0,58,8,7,0
352,Alleghany,5/3/2021,0,0,0,35,4,2,1
353,Alleghany,4/26/2021,0,0,0,123,22,4,2
354,Alleghany,4/19/2021,0,0,0,48,8,5,3
355,Alleghany,4/12/2021,0,0,0,68,3,10,1
356,Alleghany,4/5/2021,0,0,0,211,29,9,5
357,Alleghany,3/29/2021,0,0,0,219,14,10,5
358,Alleghany,3/22/2021,0,0,0,193,42,28,3
359,Alleghany,3/15/2021,0,0,0,295,36,38,2
360,Alleghany,3/8/2021,0,0,0,367,53,22,12
361,Alleghany,3/1/2021,0,0,0,353,102,79,7
362,Alleghany,2/22/2021,0,0,0,221,4,28,2
363,Alleghany,2/15/2021,0,0,0,28,0,2,2
364,Alleghany,2/8/2021,0,0,0,144,9,8,1
365,Alleghany,2/1/2021,0,0,0,99,10,28,2
366,Alleghany,1/25/2021,0,0,0,463,92,0,7
367,Alleghany,1/18/2021,0,0,0,299,254,3,4
368,Alleghany,1/11/2021,0,0,0,466,9,3,3
369,Alleghany,1/4/2021,0,0,0,49,3,45,1
370,Alleghany,12/28/2020,0,0,0,67,1,2,2
371,Alleghany,12/21/2020,0,0,0,38,1,,0
372,Alleghany,12/14/2020,0,0,0,9,,,0
373,Anson,4/24/2023,0,0,0,0,,,0
374,Anson,4/17/2023,0,0,0,0,,,1
375,Anson,4/10/2023,0,0,0,0,,,2
376,Anson,4/3/2023,0,0,0,0,,,1
377,Anson,3/27/2023,0,0,0,0,,,0
378,Anson,3/20/2023,0,0,0,0,0,0,0
379,Anson,3/13/2023,0,0,0,0,,,1
380,Anson,3/6/2023,0,0,0,0,,,0
381,Anson,2/27/2023,0,0,0,0,,,1
382,Anson,2/20/2023,0,0,3,0,,0,0
383,Anson,2/13/2023,0,0,0,0,,,2
384,Anson,2/6/2023,0,0,0,0,,,2
385,Anson,1/30/2023,0,0,0,0,,,1
386,Anson,1/23/2023,0,0,0,0,0,,0
387,Anson,1/16/2023,0,0,0,0,,,2
388,Anson,1/9/2023,0,0,1,1,0,1,0
389,Anson,1/2/2023,0,0,0,0,,,2
390,Anson,12/26/2022,0,0,0,0,,0,0
391,Anson,12/19/2022,0,0,0,0,,,1
392,Anson,12/12/2022,0,0,0,0,0,0,0
393,Anson,12/5/2022,0,0,0,5,,1,2
394,Anson,11/28/2022,0,0,3,0,0,5,0
395,Anson,11/21/2022,0,0,0,0,,,2
396,Anson,11/14/2022,0,0,1,3,0,1,0
397,Anson,11/7/2022,0,0,0,0,,,1
398,Anson,10/31/2022,0,0,4,1,1,1,0
399,Anson,10/24/2022,0,0,1,1,0,1,0
400,Anson,10/17/2022,0,0,3,1,0,0,0
401,Anson,10/10/2022,0,0,2,4,1,1,0
402,Anson,10/3/2022,0,0,8,2,0,2,0
403,Anson,9/26/2022,0,0,2,0,0,1,0
404,Anson,9/19/2022,0,0,8,2,0,1,0
405,Anson,9/12/2022,0,0,5,0,0,2,0
406,Anson,9/5/2022,0,0,3,0,0,0,0
407,Anson,8/29/2022,0,0,2,1,,,0
408,Anson,8/22/2022,0,0,6,3,1,2,0
409,Anson,8/15/2022,0,0,11,3,0,1,0
410,Anson,8/8/2022,0,0,12,1,0,1,0
411,Anson,8/1/2022,0,0,10,5,2,0,1
412,Anson,7/25/2022,0,0,6,1,,1,0
413,Anson,7/18/2022,0,0,11,2,0,3,0
414,Anson,7/11/2022,0,0,6,0,1,1,0
415,Anson,7/4/2022,0,0,6,2,,3,0
416,Anson,6/27/2022,0,0,4,3,0,1,0
417,Anson,6/20/2022,0,0,4,2,0,0,0
418,Anson,6/13/2022,0,0,6,2,0,3,0
419,Anson,6/6/2022,0,0,4,0,1,2,0
420,Anson,5/30/2022,0,0,4,1,1,1,0
421,Anson,5/23/2022,0,0,4,0,0,1,1
422,Anson,5/16/2022,0,0,5,2,0,1,0
423,Anson,5/9/2022,0,0,4,2,0,1,0
424,Anson,5/2/2022,0,0,7,4,0,5,1
425,Anson,4/25/2022,0,0,6,4,0,1,0
426,Anson,4/18/2022,0,0,6,2,2,16,0
427,Anson,4/11/2022,0,0,5,5,0,1,0
428,Anson,4/4/2022,0,0,5,2,3,0,1
429,Anson,3/28/2022,0,0,9,4,1,3,0
430,Anson,3/21/2022,0,0,13,6,0,1,0
431,Anson,3/14/2022,0,0,14,4,3,5,0
432,Anson,3/7/2022,0,0,3,4,0,6,1
433,Anson,2/28/2022,0,0,10,6,2,2,0
434,Anson,2/21/2022,0,0,9,6,1,3,2
435,Anson,2/14/2022,0,0,10,2,2,1,0
436,Anson,2/7/2022,0,0,11,10,2,0,0
437,Anson,1/31/2022,0,0,13,4,1,3,0
438,Anson,1/24/2022,0,0,20,17,3,3,0
439,Anson,1/17/2022,0,0,24,7,5,3,0
440,Anson,1/10/2022,0,0,39,15,2,4,0
441,Anson,1/3/2022,0,0,44,31,6,3,1
442,Anson,12/27/2021,0,0,50,20,4,2,0
443,Anson,12/20/2021,0,0,18,11,0,0,0
444,Anson,12/13/2021,0,0,41,8,3,5,5
445,Anson,12/6/2021,0,0,25,14,6,2,1
446,Anson,11/29/2021,0,0,45,18,7,9,4
447,Anson,11/22/2021,0,0,25,24,1,19,2
448,Anson,11/15/2021,0,0,66,22,5,12,3
449,Anson,11/8/2021,0,0,40,31,2,33,3
450,Anson,11/1/2021,0,0,44,24,8,10,0
451,Anson,10/25/2021,0,0,47,23,3,11,0
452,Anson,10/18/2021,0,0,56,22,2,11,1
453,Anson,10/11/2021,0,0,58,24,4,9,1
454,Anson,10/4/2021,0,0,68,56,6,6,4
455,Anson,9/27/2021,0,0,66,21,1,7,1
456,Anson,9/20/2021,0,0,72,73,11,8,4
457,Anson,9/13/2021,0,0,88,72,2,8,3
458,Anson,9/6/2021,0,0,67,45,9,19,3
459,Anson,8/30/2021,0,0,74,68,12,16,3
460,Anson,8/23/2021,0,0,91,65,3,19,1
461,Anson,8/16/2021,0,0,125,50,7,21,4
462,Anson,8/9/2021,0,0,100,47,10,17,3
463,Anson,8/2/2021,0,0,59,63,12,6,3
464,Anson,7/26/2021,0,0,91,63,6,24,0
465,Anson,7/19/2021,0,0,49,37,4,4,3
466,Anson,7/12/2021,0,0,59,42,3,35,0
467,Anson,7/5/2021,0,0,39,24,2,2,6
468,Anson,6/28/2021,0,0,38,40,1,2,2
469,Anson,6/21/2021,0,0,35,32,3,2,2
470,Anson,6/14/2021,0,0,53,43,7,4,4
471,Anson,6/7/2021,0,0,67,17,6,11,8
472,Anson,5/31/2021,0,0,79,27,9,2,6
473,Anson,5/24/2021,0,0,48,54,6,5,7
474,Anson,5/17/2021,0,0,76,77,10,1,7
475,Anson,5/10/2021,0,0,51,50,8,5,10
476,Anson,5/3/2021,0,0,66,51,7,20,6
477,Anson,4/26/2021,0,0,89,46,6,4,13
478,Anson,4/19/2021,0,0,108,91,10,5,7
479,Anson,4/12/2021,0,0,211,211,9,4,14
480,Anson,4/5/2021,0,0,174,178,39,9,20
481,Anson,3/29/2021,0,0,131,132,3,4,9
482,Anson,3/22/2021,0,0,262,209,11,2,19
483,Anson,3/15/2021,0,0,310,364,15,1,27
484,Anson,3/8/2021,0,0,276,275,17,3,21
485,Anson,3/1/2021,0,0,107,158,1,1,6
486,Anson,2/22/2021,0,0,302,265,17,2,8
487,Anson,2/15/2021,0,0,132,120,4,0,4
488,Anson,2/8/2021,0,0,230,155,8,2,1
489,Anson,2/1/2021,0,0,280,329,22,9,6
490,Anson,1/25/2021,0,0,208,460,18,28,5
491,Anson,1/18/2021,0,0,107,388,7,2,1
492,Anson,1/11/2021,0,0,48,260,20,15,2
493,Anson,1/4/2021,0,0,32,94,48,22,3
494,Anson,12/28/2020,0,0,7,23,9,105,0
495,Anson,12/21/2020,0,0,1,8,,,0
496,Anson,12/14/2020,0,0,1,2,,,0
497,Ashe,4/24/2023,0,0,0,0,,,0
498,Ashe,4/17/2023,0,0,0,0,,,0
499,Ashe,4/10/2023,0,0,0,0,0,,0
500,Ashe,4/3/2023,0,0,0,0,,,1
501,Ashe,3/27/2023,0,0,0,0,0,0,0
502,Ashe,3/20/2023,0,0,0,0,0,0,0
503,Ashe,3/13/2023,0,0,0,0,0,,0
504,Ashe,3/6/2023,0,0,0,0,,,0
505,Ashe,2/27/2023,0,0,0,0,,0,0
506,Ashe,2/20/2023,0,0,0,3,,0,0
507,Ashe,2/13/2023,0,0,0,0,,0,0
