,asian,white,black,latino,other
asian,0.56,0.48,0.52,0.49,0.5
white,10.54,9.78,10.71,10.18,10.55
black,3.74,3.52,4.22,3.92,4.06
latino,1.69,1.63,1.89,2.06,1.93
other,0.65,0.63,0.74,0.73,0.75
