location,month,year,demographic,value 
ca_southern,3,2021,Black,0.471
ca_southern,3,2021,Overall,0.517
ca_southern,4,2021,White,0.751
ca_southern,4,2021,Latino,0.731
ca_southern,4,2021,Asian,0.773
ca_southern,4,2021,Other,0.706
ca_southern,4,2021,Black,0.677
ca_southern,4,2021,Overall,0.74
nc,7,2020,White,0.012
nc,7,2020,Latino,0.035
nc,7,2020,Asian,0
nc,7,2020,Other,0.007
nc,7,2020,Black,0.013
nc ,7,2020,Overall,0.014
nc,8,2020,White,0.019
nc,8,2020,Latino,0.1
nc,8,2020,Asian,0.075
nc,8,2020,Other,0.031
nc,8,2020,Black,0.032
nc ,8,2020,Overall,0.031
nc,9,2020,White,0.028
nc,9,2020,Latino,0.097
nc,9,2020,Asian,NA
nc,9,2020,Other,0.062
nc,9,2020,Black,0.016
nc ,9,2020,Overall,0.035
nc,10,2020,White,0.033
nc,10,2020,Latino,0.074
nc,10,2020,Asian,0.038
nc,10,2020,Other,0.023
nc,10,2020,Black,0.049
nc ,10,2020,Overall,0.04
nc,11,2020,White,0.059
nc,11,2020,Latino,0.068
nc,11,2020,Asian,NA
nc,11,2020,Other,0.122
nc,11,2020,Black,0.097
nc ,11,2020,Overall,0.067
nc,12,2020,White,0.075
nc,12,2020,Latino,0.114
nc,12,2020,Asian,0.042
nc,12,2020,Other,0.125
nc,12,2020,Black,0.093
nc ,12,2020,Overall,0.083
nc,1,2021,White,0.168
nc,1,2021,Latino,0.171
nc,1,2021,Asian,0.184
nc,1,2021,Other,NA
nc,1,2021,Black,0.142
nc ,1,2021,Overall,0.165
nc,2,2021,White,0.339
nc,2,2021,Latino,0.396
nc,2,2021,Asian,0.278
nc,2,2021,Other,0.224
nc,2,2021,Black,0.35
nc ,2,2021,Overall,0.341
nc,3,2021,White,0.52
nc,3,2021,Latino,0.45
nc,3,2021,Asian,0.411
nc,3,2021,Other,NA
nc,3,2021,Black,0.497
nc ,3,2021,Overall,0.5
nc,4,2021,White,0.771
nc,4,2021,Latino,0.778
nc,4,2021,Asian,NA
nc,4,2021,Other,0.762
nc,4,2021,Black,0.735
nc ,4,2021,Overall,0.763
