"","location","percent","demographic_category","demographic_value","population_2020"
"1","06",0.065,"race_ethnicity","black",39538212
"2","06",0.022,"race_ethnicity","other",39538212
"3","06",0.163,"race_ethnicity","asian",39538212
"4","06",0.403,"race_ethnicity","latino",39538212
"5","06",0.347,"race_ethnicity","white",39538212
"6","06",0.218,"age","0-17",39538212
"7","06",0.624,"age","18-64",39538212
"8","06",0.158,"age","65+ ",39538212
"9","37",0.222,"race_ethnicity","black",10439459
"10","37",0.122,"race_ethnicity","other",10439459
"11","37",0.036,"race_ethnicity","asian",10439459
"12","37",0.615,"race_ethnicity","white",10439459
"13","37",0.214,"age","0-17",10439459
"14","37",0.611,"age","18-64",10439459
"15","37",0.175,"age","65+ ",10439459
