"","GEOID","demographic","children_5_17"
"248","06099","Latino","68741"
"249","06099","Other","5407"
"250","06099","White","26702"
"251","06101","Asian","2497"
"252","06101","Black","480"
"253","06101","Latino","7338"
"254","06101","Other","1345"
"255","06101","White","7242"
"256","06103","Asian","129"
"257","06103","Black","94"
"258","06103","Latino","5043"
"259","06103","Other","632"
"260","06103","White","5745"
"261","06105","Asian","104"
"262","06105","Black","3"
"263","06105","Latino","182"
"264","06105","Other","236"
"265","06105","White","1161"
"266","06107","Asian","2151"
"267","06107","Black","1075"
"268","06107","Latino","84092"
"269","06107","Other","3226"
"270","06107","White","15592"
"271","06109","Asian","54"
"272","06109","Black","41"
"273","06109","Latino","1239"
"274","06109","Other","572"
"275","06109","White","4804"
"276","06111","Asian","6437"
"277","06111","Black","1755"
"278","06111","Latino","89237"
"279","06111","Other","8485"
"280","06111","White","40376"
"281","06113","Asian","3378"
"282","06113","Black","980"
"283","06113","Latino","16114"
"284","06113","Other","2230"
"285","06113","White","10776"
"286","06115","Asian","1103"
"287","06115","Black","559"
"288","06115","Latino","6361"
"289","06115","Other","1454"
"290","06115","White","6281"
