"","date","location","partial_vax","full_vax","category","demographic"
"225",2021-01-30,"05",1475823,92454,"age","65+"
"226",2021-02-06,"05",2212834,181350,"age","65+"
"227",2021-02-13,"05",2829030,457456,"age","65+"
"228",2021-02-20,"05",3313933,951379,"age","65+"
"229",2021-02-27,"05",3752679,1613523,"age","65+"
"230",2021-03-06,"05",4109481,2270924,"age","65+"
"231",2021-03-13,"05",4350628,2855613,"age","65+"
"232",2021-03-20,"05",4562315,3376080,"age","65+"
"233",2021-03-27,"05",4734233,3730749,"age","65+"
"234",2021-04-03,"05",4901834,4044306,"age","65+"
"235",2020-12-19,"05",27,0,"age","Unknown"
"236",2020-12-26,"05",80,0,"age","Unknown"
"237",2021-01-02,"05",130,0,"age","Unknown"
"238",2021-01-09,"05",206,3,"age","Unknown"
"239",2021-01-16,"05",311,16,"age","Unknown"
"240",2021-01-23,"05",442,21,"age","Unknown"
"241",2021-01-30,"05",593,29,"age","Unknown"
"242",2021-02-06,"05",756,36,"age","Unknown"
"243",2021-02-13,"05",827,44,"age","Unknown"
"244",2021-02-20,"05",916,67,"age","Unknown"
"245",2021-02-27,"05",1032,97,"age","Unknown"
"246",2021-03-06,"05",1184,125,"age","Unknown"
"247",2021-03-13,"05",1311,140,"age","Unknown"
"248",2021-03-20,"05",1397,153,"age","Unknown"
"249",2021-03-27,"05",1491,174,"age","Unknown"
"250",2021-04-03,"05",1577,193,"age","Unknown"
"251",2020-12-19,"05",30819,275,"race/ethnicity","Asian"
"252",2020-12-26,"05",88008,323,"race/ethnicity","Asian"
"253",2021-01-02,"05",139296,425,"race/ethnicity","Asian"
"254",2021-01-09,"05",210072,33287,"race/ethnicity","Asian"
"255",2021-01-16,"05",320008,80900,"race/ethnicity","Asian"
"256",2021-01-23,"05",451365,113348,"race/ethnicity","Asian"
"257",2021-01-30,"05",592649,161559,"race/ethnicity","Asian"
"258",2021-02-06,"05",746117,228066,"race/ethnicity","Asian"
"259",2021-02-13,"05",872651,344535,"race/ethnicity","Asian"
"260",2021-02-20,"05",987692,463703,"race/ethnicity","Asian"
"261",2021-02-27,"05",1128291,611723,"race/ethnicity","Asian"
"262",2021-03-06,"05",1325837,757560,"race/ethnicity","Asian"
"263",2021-03-13,"05",1524397,905756,"race/ethnicity","Asian"
"264",2021-03-20,"05",1754970,1061655,"race/ethnicity","Asian"
"265",2021-03-27,"05",1992451,1231113,"race/ethnicity","Asian"
"266",2021-04-03,"05",2253347,1446147,"race/ethnicity","Asian"
"267",2020-12-19,"05",3850,122,"race/ethnicity","Black"
"268",2020-12-26,"05",11980,128,"race/ethnicity","Black"
"269",2021-01-02,"05",22755,158,"race/ethnicity","Black"
"270",2021-01-09,"05",37701,4083,"race/ethnicity","Black"
"271",2021-01-16,"05",57545,10658,"race/ethnicity","Black"
"272",2021-01-23,"05",81074,16665,"race/ethnicity","Black"
"273",2021-01-30,"05",109262,26979,"race/ethnicity","Black"
"274",2021-02-06,"05",147138,41461,"race/ethnicity","Black"
"275",2021-02-13,"05",182427,61903,"race/ethnicity","Black"
"276",2021-02-20,"05",214938,84434,"race/ethnicity","Black"
"277",2021-02-27,"05",253758,112949,"race/ethnicity","Black"
"278",2021-03-06,"05",302623,147595,"race/ethnicity","Black"
"279",2021-03-13,"05",348438,189028,"race/ethnicity","Black"
"280",2021-03-20,"05",401589,236149,"race/ethnicity","Black"
"281",2021-03-27,"05",452803,281374,"race/ethnicity","Black"
"282",2021-04-03,"05",503185,333018,"race/ethnicity","Black"
"283",2020-12-19,"05",19856,482,"race/ethnicity","Latino"
"284",2020-12-26,"05",57251,536,"race/ethnicity","Latino"
"285",2021-01-02,"05",104271,715,"race/ethnicity","Latino"
"286",2021-01-09,"05",176286,20369,"race/ethnicity","Latino"
"287",2021-01-16,"05",280885,50611,"race/ethnicity","Latino"
"288",2021-01-23,"05",417173,76810,"race/ethnicity","Latino"
"289",2021-01-30,"05",570342,120332,"race/ethnicity","Latino"
"290",2021-02-06,"05",749489,187989,"race/ethnicity","Latino"
"291",2021-02-13,"05",916320,302112,"race/ethnicity","Latino"
"292",2021-02-20,"05",1078972,426495,"race/ethnicity","Latino"
"293",2021-02-27,"05",1312147,581309,"race/ethnicity","Latino"
"294",2021-03-06,"05",1657873,744424,"race/ethnicity","Latino"
"295",2021-03-13,"05",2004735,958742,"race/ethnicity","Latino"
"296",2021-03-20,"05",2422948,1203440,"race/ethnicity","Latino"
"297",2021-03-27,"05",2833425,1488009,"race/ethnicity","Latino"
"298",2021-04-03,"05",3252275,1857441,"race/ethnicity","Latino"
"299",2020-12-19,"05",16587,334,"race/ethnicity","Other"
"300",2020-12-26,"05",47738,370,"race/ethnicity","Other"
"301",2021-01-02,"05",84864,484,"race/ethnicity","Other"
"302",2021-01-09,"05",133301,17269,"race/ethnicity","Other"
"303",2021-01-16,"05",212859,42914,"race/ethnicity","Other"
"304",2021-01-23,"05",317002,65723,"race/ethnicity","Other"
"305",2021-01-30,"05",428586,98235,"race/ethnicity","Other"
"306",2021-02-06,"05",548354,149780,"race/ethnicity","Other"
"307",2021-02-13,"05",646585,235203,"race/ethnicity","Other"
"308",2021-02-20,"05",732225,329912,"race/ethnicity","Other"
"309",2021-02-27,"05",834861,440429,"race/ethnicity","Other"
"310",2021-03-06,"05",968818,544166,"race/ethnicity","Other"
"311",2021-03-13,"05",1098004,655663,"race/ethnicity","Other"
"312",2021-03-20,"05",1254211,768161,"race/ethnicity","Other"
"313",2021-03-27,"05",1403855,883959,"race/ethnicity","Other"
"314",2021-04-03,"05",1555609,1018227,"race/ethnicity","Other"
"315",2020-12-19,"05",5802,146,"race/ethnicity","Unknown"
"316",2020-12-26,"05",15084,153,"race/ethnicity","Unknown"
"317",2021-01-02,"05",23556,187,"race/ethnicity","Unknown"
"318",2021-01-09,"05",35721,5552,"race/ethnicity","Unknown"
"319",2021-01-16,"05",53586,12437,"race/ethnicity","Unknown"
"320",2021-01-23,"05",73931,17748,"race/ethnicity","Unknown"
"321",2021-01-30,"05",97041,25005,"race/ethnicity","Unknown"
"322",2021-02-06,"05",123553,35672,"race/ethnicity","Unknown"
"323",2021-02-13,"05",144268,51174,"race/ethnicity","Unknown"
"324",2021-02-20,"05",160593,67858,"race/ethnicity","Unknown"
"325",2021-02-27,"05",181869,88676,"race/ethnicity","Unknown"
"326",2021-03-06,"05",208474,109390,"race/ethnicity","Unknown"
"327",2021-03-13,"05",236261,130638,"race/ethnicity","Unknown"
"328",2021-03-20,"05",271605,153229,"race/ethnicity","Unknown"
"329",2021-03-27,"05",308188,174985,"race/ethnicity","Unknown"
"330",2021-04-03,"05",344877,204375,"race/ethnicity","Unknown"
"331",2020-12-19,"05",46089,1241,"race/ethnicity","White"
"332",2020-12-26,"05",129659,1373,"race/ethnicity","White"
"333",2021-01-02,"05",218119,1736,"race/ethnicity","White"
"334",2021-01-09,"05",336664,49414,"race/ethnicity","White"
"335",2021-01-16,"05",574688,118172,"race/ethnicity","White"
"336",2021-01-23,"05",958547,171293,"race/ethnicity","White"
"337",2021-01-30,"05",1400813,248108,"race/ethnicity","White"
"338",2021-02-06,"05",1876182,380704,"race/ethnicity","White"
"339",2021-02-13,"05",2277188,661241,"race/ethnicity","White"
"340",2021-02-20,"05",2625406,1026832,"race/ethnicity","White"
"341",2021-02-27,"05",3016694,1473899,"race/ethnicity","White"
"342",2021-03-06,"05",3506566,1896339,"race/ethnicity","White"
"343",2021-03-13,"05",3909603,2352898,"race/ethnicity","White"
"344",2021-03-20,"05",4410643,2796147,"race/ethnicity","White"
"345",2021-03-27,"05",4896100,3225328,"race/ethnicity","White"
"346",2021-04-03,"05",5419718,3701393,"race/ethnicity","White"
