"","GEOID","demographic","percent","pop_size"
"146","37001022002","Black",0.078,330.408
"147","37001022002","Other",0.253,1071.708
"148","37001022002","White",0.669,2833.884
"149","37003040100","Asian",0,0
"150","37003040100","Black",0.029,90.016
"151","37003040100","Other",0.023,71.392
"152","37003040100","White",0.947,2939.488
"153","37003040200","Asian",0,0
"154","37003040200","Black",0.037,137.418
"155","37003040200","Other",0.065,241.41
"156","37003040200","White",0.898,3335.172
"157","37003040300","Asian",0,0
"158","37003040300","Black",0.007,21.406
"159","37003040300","Other",0.044,134.552
"160","37003040300","White",0.949,2902.042
"161","37003040400","Asian",0.019,120.536
"162","37003040400","Black",0.151,957.944
"163","37003040400","Other",0.089,564.616
"164","37003040400","White",0.74,4694.56
"165","37003040500","Asian",0,0
"166","37003040500","Black",0.007,46.459
"167","37003040500","Other",0.126,836.262
"168","37003040500","White",0.866,5747.642
"169","37003040600","Asian",0,0
"170","37003040600","Black",0.09,607.68
"171","37003040600","Other",0.072,486.144
"172","37003040600","White",0.837,5651.424
"173","37003040700","Asian",0.038,261.516
"174","37003040700","Black",0,0
"175","37003040700","Other",0.034,233.988
"176","37003040700","White",0.928,6386.496
"177","37005950100","Asian",0.002,8.194
"178","37005950100","Black",0.003,12.291
"179","37005950100","Other",0.087,356.439
"180","37005950100","White",0.909,3724.173
"181","37005950200","Asian",0.009,35.001
"182","37005950200","Black",0.01,38.89
"183","37005950200","Other",0.166,645.574
"184","37005950200","White",0.815,3169.535
"185","37005950300","Asian",0,0
"186","37005950300","Black",0.039,114.036
"187","37005950300","Other",0.078,228.072
"188","37005950300","White",0.883,2581.892
"189","37007920100","Asian",0,0
"190","37007920100","Black",0.504,1500.912
"191","37007920100","Other",0.073,217.394
"192","37007920100","White",0.424,1262.672
"193","37007920200","Asian",0.019,32.927
"194","37007920200","Black",0.375,649.875
"195","37007920200","Other",0.034,58.922
"196","37007920200","White",0.572,991.276
"197","37007920301","Asian",0.001,4.433
"198","37007920301","Black",0.239,1059.487
"199","37007920301","Other",0.064,283.712
"200","37007920301","White",0.695,3080.935
"201","37007920302","Asian",0,0
"202","37007920302","Black",0.121,55.781
"203","37007920302","Other",0.054,24.894
"204","37007920302","White",0.825,380.325
"205","37007920400","Asian",0,0
"206","37007920400","Black",0.804,2213.412
"207","37007920400","Other",0.012,33.036
"208","37007920400","White",0.184,506.552
"209","37007920501","Asian",0,0
"210","37007920501","Black",0.606,558.732
"211","37007920501","Other",0.104,95.888
"212","37007920501","White",0.29,267.38
"213","37007920502","Asian",0.042,183.498
"214","37007920502","Black",0.635,2774.315
"215","37007920502","Other",0.003,13.107
"216","37007920502","White",0.321,1402.449
"217","37007920600","Asian",0.011,37.851
"218","37007920600","Black",0.372,1280.052
"219","37007920600","Other",0.12,412.92
"220","37007920600","White",0.498,1713.618
"221","37007980000","Asian",0.038,49.324
