"","School_District","demographic","children_5_17","percent_final","type"
"91","Bradford Preparatory School","Asian",44,0.0387665198237885,"charter"
"92","Bradford Preparatory School","Other",167,0.147136563876652,"charter"
"93","Brevard Academy","Black",8,0.02088772845953,"charter"
"94","Brevard Academy","White",340,0.887728459530026,"charter"
"95","Brevard Academy","Asian",3,0.00783289817232376,"charter"
"96","Brevard Academy","Other",32,0.0835509138381201,"charter"
"97","Bridges Academy","Black",15,0.0824175824175824,"charter"
"98","Bridges Academy","White",158,0.868131868131868,"charter"
"99","Bridges Academy","Asian",1,0.00549450549450549,"charter"
"100","Bridges Academy","Other",8,0.043956043956044,"charter"
"101","Brunswick County Schools","Black",1890,0.150274310248867,"public"
"102","Brunswick County Schools","White",8211,0.652858392303411,"public"
"103","Brunswick County Schools","Asian",86,0.00683787866740876,"public"
"104","Brunswick County Schools","Other",2390,0.190029418780313,"public"
"105","Buncombe County Schools","Black",1620,0.0674073149419548,"public"
"106","Buncombe County Schools","White",16837,0.700578371405983,"public"
"107","Buncombe County Schools","Asian",300,0.012482836100362,"public"
"108","Buncombe County Schools","Other",5276,0.2195314775517,"public"
"109","Burke County Schools","Black",598,0.049319587628866,"public"
"110","Burke County Schools","White",8259,0.681154639175258,"public"
"111","Burke County Schools","Asian",754,0.0621855670103093,"public"
"112","Burke County Schools","Other",2514,0.207340206185567,"public"
"113","CIS Academy","Black",0,0,"charter"
"114","CIS Academy","White",1,0.00862068965517241,"charter"
"115","CIS Academy","Asian",0,0,"charter"
"116","CIS Academy","Other",115,0.991379310344828,"charter"
"117","Cabarrus Charter Academy","Black",334,0.347916666666667,"charter"
"118","Cabarrus Charter Academy","White",365,0.380208333333333,"charter"
"119","Cabarrus Charter Academy","Asian",59,0.0614583333333333,"charter"
"120","Cabarrus Charter Academy","Other",202,0.210416666666667,"charter"
"121","Cabarrus County Schools","Black",6629,0.204119965512994,"public"
"122","Cabarrus County Schools","White",17276,0.531962064293632,"public"
"123","Cabarrus County Schools","Asian",1523,0.0468961694789999,"public"
"124","Cabarrus County Schools","Other",7048,0.217021800714374,"public"
"125","Caldwell County Schools","Black",612,0.0528497409326425,"public"
"126","Caldwell County Schools","White",9096,0.785492227979275,"public"
"127","Caldwell County Schools","Asian",73,0.00630397236614853,"public"
"128","Caldwell County Schools","Other",1799,0.155354058721934,"public"
"129","Camden County Schools","Black",182,0.100054975261132,"public"
"130","Camden County Schools","White",1450,0.79714128642111,"public"
"131","Camden County Schools","Asian",17,0.00934579439252336,"public"
"132","Camden County Schools","Other",170,0.0934579439252336,"public"
"133","Cape Fear Center for Inquiry","Black",17,0.0417690417690418,"charter"
"134","Cape Fear Center for Inquiry","White",352,0.864864864864865,"charter"
"135","Cape Fear Center for Inquiry","Asian",2,0.00491400491400491,"charter"
"136","Cape Fear Center for Inquiry","Other",36,0.0884520884520884,"charter"
"137","Cardinal Charter","Black",136,0.139344262295082,"charter"
"138","Cardinal Charter","White",451,0.462090163934426,"charter"
"139","Cardinal Charter","Asian",136,0.139344262295082,"charter"
"140","Cardinal Charter","Other",253,0.25922131147541,"charter"
"141","Carolina International School","Black",257,0.28056768558952,"charter"
"142","Carolina International School","White",364,0.397379912663755,"charter"
"143","Carolina International School","Asian",74,0.0807860262008734,"charter"
"144","Carolina International School","Other",221,0.241266375545852,"charter"
"145","Carter Community Charter","Black",220,0.859375,"charter"
"146","Carter Community Charter","White",2,0.0078125,"charter"
"147","Carter Community Charter","Asian",1,0.00390625,"charter"
"148","Carter Community Charter","Other",33,0.12890625,"charter"
"149","Carter G Woodson School","Black",173,0.407058823529412,"charter"
"150","Carter G Woodson School","White",0,0,"charter"
"151","Carter G Woodson School","Asian",0,0,"charter"
"152","Carter G Woodson School","Other",252,0.592941176470588,"charter"
"153","Carteret County Schools","Black",497,0.0599372889532079,"public"
"154","Carteret County Schools","White",6387,0.770260492040521,"public"
"155","Carteret County Schools","Asian",94,0.0113362276893391,"public"
"156","Carteret County Schools","Other",1314,0.158465991316932,"public"
"157","Casa Esperanza Montessori","Black",95,0.190763052208835,"charter"
"158","Casa Esperanza Montessori","White",184,0.369477911646586,"charter"
"159","Casa Esperanza Montessori","Asian",28,0.0562248995983936,"charter"
"160","Casa Esperanza Montessori","Other",191,0.383534136546185,"charter"
"161","Caswell County Schools","Black",948,0.362801377726751,"public"
"162","Caswell County Schools","White",1337,0.511672407194795,"public"
"163","Caswell County Schools","Asian",7,0.00267891312667432,"public"
"164","Caswell County Schools","Other",321,0.12284730195178,"public"
"165","Catamount School","Black",1,0.0175438596491228,"charter"
"166","Catamount School","White",50,0.87719298245614,"charter"
"167","Catamount School","Asian",1,0.0175438596491228,"charter"
"168","Catamount School","Other",5,0.087719298245614,"charter"
"169","Catawba County Schools","Black",867,0.0535813608553241,"public"
"170","Catawba County Schools","White",10784,0.666460663741425,"public"
"171","Catawba County Schools","Asian",1087,0.0671775539212657,"public"
"172","Catawba County Schools","Other",3443,0.212780421481985,"public"
"173","Central Park School For
Children","Black",151,0.254208754208754,"charter"
"174","Central Park School For
Children","White",312,0.525252525252525,"charter"
"175","Central Park School For
Children","Asian",14,0.0235690235690236,"charter"
"176","Central Park School For
Children","Other",117,0.196969696969697,"charter"
"177","Central Wake Charter High School","Black",123,0.694915254237288,"charter"
"178","Central Wake Charter High School","White",10,0.0564971751412429,"charter"
"179","Central Wake Charter High School","Asian",0,0,"charter"
"180","Central Wake Charter High School","Other",44,0.248587570621469,"charter"
"181","Chapel-Hill/Carrboro City","Black",1372,0.111826554731437,"public"
"182","Chapel-Hill/Carrboro City","White",6288,0.512511207107344,"public"
"183","Chapel-Hill/Carrboro City","Asian",1765,0.143858505175646,"public"
"184","Chapel-Hill/Carrboro City","Other",2844,0.231803732985573,"public"
"185","Charlotte Choice Charter","Black",156,0.757281553398058,"charter"
"186","Charlotte Choice Charter","White",2,0.00970873786407767,"charter"
"187","Charlotte Choice Charter","Asian",0,0,"charter"
"188","Charlotte Choice Charter","Other",48,0.233009708737864,"charter"
"189","Charlotte Lab School","Black",101,0.189138576779026,"charter"
