"GEOID","percent","children5_17","race_ethnicity"
6091,0.0679999999999999,13,"other"
6091,0.744,248,"white"
6093,0.027,190,"asian"
6093,0.012,85,"black"
6093,0.175,1233,"latino"
6093,0.201,1177,"other"
6093,0.585,4122,"white"
6095,0.04,2915,"asian"
6095,0.134,9766,"black"
6095,0.411,29955,"latino"
6095,0.188,13119,"other"
6095,0.227,16544,"white"
6097,0.031,2290,"asian"
6097,0.016,1182,"black"
6097,0.472,34866,"latino"
6097,0.0749999999999999,4949,"other"
6097,0.406,29990,"white"
6099,0.043,4745,"asian"
6099,0.024,2648,"black"
6099,0.623,68741,"latino"
6099,0.068,5407,"other"
6099,0.242,26702,"white"
6101,0.13,2497,"asian"
6101,0.025,480,"black"
6101,0.382,7338,"latino"
6101,0.086,1345,"other"
6101,0.377,7242,"white"
6103,0.011,129,"asian"
6103,0.008,94,"black"
6103,0.431,5043,"latino"
6103,0.059,632,"other"
6103,0.491,5745,"white"
6105,0.061,104,"asian"
6105,0.002,3,"black"
6105,0.106,182,"latino"
6105,0.153,236,"other"
6105,0.678,1161,"white"
6107,0.02,2151,"asian"
6107,0.01,1075,"black"
6107,0.782,84092,"latino"
6107,0.043,3226,"other"
6107,0.145,15592,"white"
6109,0.008,54,"asian"
6109,0.006,41,"black"
6109,0.182,1239,"latino"
6109,0.098,572,"other"
6109,0.706,4804,"white"
6111,0.044,6437,"asian"
6111,0.012,1755,"black"
6111,0.61,89237,"latino"
6111,0.058,8485,"other"
6111,0.276,40376,"white"
6113,0.1,3378,"asian"
6113,0.029,980,"black"
6113,0.477,16114,"latino"
6113,0.0749999999999999,2230,"other"
6113,0.319,10776,"white"
6115,0.069,1103,"asian"
6115,0.035,559,"black"
6115,0.398,6361,"latino"
6115,0.105,1454,"other"
6115,0.393,6281,"white"
