"","Asian","White","Black","Latino","Other"
"Asian",1.85343258774021,1.06794309856541,1.1429460212263,0.983212817675134,1.32606548084232
"White",2.33857939538409,3.0434583133148,2.19321022707742,2.2467971537822,2.6872755623434
"Black",0.603597773275145,0.528929868605509,0.79466665682896,0.595233278052649,0.61745860167225
"Latino",5.4973868771851,5.73669843508673,6.30190507654604,6.73463543402939,5.64157360758425
"Other",1.11700336641546,1.03297028442755,0.977272018321282,0.850121316460623,1.13762674755778
