,Asian,White ,Black,Latino,Other
Asian,1.85,2.34,0.60,5.50,1.01
White ,1.07,3.04,0.53,5.74,0.93
Black,1.14,2.19,0.79,6.30,0.89
Latino,0.98,2.25,0.60,6.73,0.77
Other,1.33,2.69,0.62,5.64,1.03
