,Asian,White ,Black,Latino,Other
Asian,2.39,2.29,2.45,2.35,2.38
White ,5.66,5.51,5.9,5.64,5.72
Black,0.9,0.87,0.99,0.97,0.96
Latino,6.13,5.94,6.83,7.26,6.88
Other,0.67,0.65,0.73,0.75,0.75
