"","Asian","White","Black","Latino","Other"
"Asian",0.922413062499998,0.338119039702996,0.34611221169034,0.28476522461976,0.440174010331673
"White",0.845963400934439,1.49068334494974,0.694327381400024,0.673091838100047,1.16284703561264
"Black",0.12991537256107,0.104165994682454,0.497910715581947,0.157326088022059,0.166756390360639
"Latino",0.760055270843774,0.718043242535341,1.11870439958497,1.58296232681124,0.819437279285598
"Other",0.131605084080085,0.138959714442693,0.132827236059774,0.0917921972017638,0.20076206925176
