,Asian,White ,Black,Latino,Other
Asian,0.92,0.85,0.13,0.76,0.13
White ,0.34,1.49,0.1,0.72,0.14
Black,0.35,0.69,0.5,1.12,0.13
Latino,0.28,0.67,0.16,1.58,0.09
Other,0.44,1.16,0.17,0.82,0.2
