"","date","location","value","category","demographic","target"
"481",2020-09-12,"05",211,"race/ethnicity","White","inc death"
"482",2020-09-19,"05",204,"race/ethnicity","White","inc death"
"483",2020-09-26,"05",198,"race/ethnicity","White","inc death"
"484",2020-10-03,"05",171,"race/ethnicity","White","inc death"
"485",2020-10-10,"05",162,"race/ethnicity","White","inc death"
"486",2020-10-17,"05",132,"race/ethnicity","White","inc death"
"487",2020-10-24,"05",123,"race/ethnicity","White","inc death"
"488",2020-10-31,"05",114,"race/ethnicity","White","inc death"
"489",2020-11-07,"05",126,"race/ethnicity","White","inc death"
"490",2020-11-14,"05",95,"race/ethnicity","White","inc death"
"491",2020-11-21,"05",127,"race/ethnicity","White","inc death"
"492",2020-11-28,"05",151,"race/ethnicity","White","inc death"
"493",2020-12-05,"05",254,"race/ethnicity","White","inc death"
"494",2020-12-12,"05",402,"race/ethnicity","White","inc death"
"495",2020-12-19,"05",518,"race/ethnicity","White","inc death"
"496",2020-12-26,"05",540,"race/ethnicity","White","inc death"
"497",2021-01-02,"05",729,"race/ethnicity","White","inc death"
"498",2021-01-09,"05",922,"race/ethnicity","White","inc death"
"499",2021-01-16,"05",1123,"race/ethnicity","White","inc death"
"500",2021-01-23,"05",1074,"race/ethnicity","White","inc death"
"501",2021-01-30,"05",1093,"race/ethnicity","White","inc death"
"502",2021-02-06,"05",1062,"race/ethnicity","White","inc death"
"503",2021-02-13,"05",863,"race/ethnicity","White","inc death"
"504",2021-02-20,"05",735,"race/ethnicity","White","inc death"
"505",2021-02-27,"05",934,"race/ethnicity","White","inc death"
"506",2021-03-06,"05",569,"race/ethnicity","White","inc death"
"507",2021-03-13,"05",409,"race/ethnicity","White","inc death"
"508",2021-03-20,"05",299,"race/ethnicity","White","inc death"
"509",2021-03-27,"05",522,"race/ethnicity","White","inc death"
"510",2021-04-03,"05",257,"race/ethnicity","White","inc death"
