location,report_date,value,demographic,target
06,2020-08-15,44351,Latino,imputed inc case 
06,2020-08-22,29804,Latino,imputed inc case 
06,2020-08-29,24626,Latino,imputed inc case 
06,2020-09-05,22848,Latino,imputed inc case 
06,2020-09-12,15878,Latino,imputed inc case 
06,2020-09-19,16577,Latino,imputed inc case 
06,2020-09-26,16084,Latino,imputed inc case 
06,2020-10-03,15360,Latino,imputed inc case 
06,2020-10-10,15229,Latino,imputed inc case 
06,2020-10-17,14836,Latino,imputed inc case 
06,2020-10-24,20257,Latino,imputed inc case 
06,2020-10-31,18862,Latino,imputed inc case 
06,2020-11-07,25804,Latino,imputed inc case 
06,2020-11-14,33995,Latino,imputed inc case 
06,2020-11-21,54859,Latino,imputed inc case 
06,2020-11-28,59409,Latino,imputed inc case 
06,2020-12-05,95205,Latino,imputed inc case 
06,2020-12-12,138161,Latino,imputed inc case 
06,2020-12-19,190213,Latino,imputed inc case 
06,2020-12-26,164993,Latino,imputed inc case 
06,2021-01-02,168691,Latino,imputed inc case 
06,2021-01-09,172493,Latino,imputed inc case 
06,2021-01-16,161608,Latino,imputed inc case 
06,2021-01-23,104190,Latino,imputed inc case 
06,2021-01-30,81148,Latino,imputed inc case 
06,2021-02-06,58985,Latino,imputed inc case 
06,2021-02-13,42685,Latino,imputed inc case 
06,2021-02-20,28685,Latino,imputed inc case 
06,2021-02-27,24474,Latino,imputed inc case 
06,2021-03-06,21878,Latino,imputed inc case 
06,2021-03-13,19268,Latino,imputed inc case 
06,2021-03-20,15032,Latino,imputed inc case 
06,2021-03-27,12828,Latino,imputed inc case 
06,2021-04-03,13984,Latino,imputed inc case 
06,2020-04-18,3100,Other,imputed inc case 
06,2020-04-25,633,Other,imputed inc case 
06,2020-05-02,730,Other,imputed inc case 
06,2020-05-09,909,Other,imputed inc case 
06,2020-05-16,690,Other,imputed inc case 
06,2020-05-23,1389,Other,imputed inc case 
06,2020-05-30,3907,Other,imputed inc case 
06,2020-06-06,3087,Other,imputed inc case 
06,2020-06-13,3101,Other,imputed inc case 
06,2020-06-20,4394,Other,imputed inc case 
06,2020-06-27,6088,Other,imputed inc case 
06,2020-07-04,8450,Other,imputed inc case 
06,2020-07-11,9208,Other,imputed inc case 
06,2020-07-18,7842,Other,imputed inc case 
06,2020-07-25,8760,Other,imputed inc case 
06,2020-08-01,4269,Other,imputed inc case 
06,2020-08-08,3376,Other,imputed inc case 
06,2020-08-15,7536,Other,imputed inc case 
06,2020-08-22,3040,Other,imputed inc case 
06,2020-08-29,2892,Other,imputed inc case 
06,2020-09-05,1503,Other,imputed inc case 
06,2020-09-12,670,Other,imputed inc case 
06,2020-09-19,1098,Other,imputed inc case 
06,2020-09-26,1755,Other,imputed inc case 
06,2020-10-03,1944,Other,imputed inc case 
06,2020-10-10,2099,Other,imputed inc case 
06,2020-10-17,1455,Other,imputed inc case 
06,2020-10-24,3569,Other,imputed inc case 
06,2020-10-31,2818,Other,imputed inc case 
06,2020-11-07,4712,Other,imputed inc case 
06,2020-11-14,7244,Other,imputed inc case 
06,2020-11-21,10326,Other,imputed inc case 
06,2020-11-28,13738,Other,imputed inc case 
06,2020-12-05,19663,Other,imputed inc case 
06,2020-12-12,30524,Other,imputed inc case 
06,2020-12-19,43715,Other,imputed inc case 
06,2020-12-26,40666,Other,imputed inc case 
06,2021-01-02,40560,Other,imputed inc case 
06,2021-01-09,44848,Other,imputed inc case 
06,2021-01-16,41335,Other,imputed inc case 
06,2021-01-23,20006,Other,imputed inc case 
06,2021-01-30,15553,Other,imputed inc case 
06,2021-02-06,9264,Other,imputed inc case 
06,2021-02-13,5486,Other,imputed inc case 
06,2021-02-20,1988,Other,imputed inc case 
06,2021-02-27,884,Other,imputed inc case 
06,2021-03-06,259,Other,imputed inc case 
06,2021-03-13,351,Other,imputed inc case 
06,2021-03-20,0,Other,imputed inc case 
06,2021-03-27,116,Other,imputed inc case 
06,2021-04-03,475,Other,imputed inc case 
06,2020-04-18,6737,White,imputed inc case 
06,2020-04-25,2145,White,imputed inc case 
06,2020-05-02,1939,White,imputed inc case 
06,2020-05-09,1681,White,imputed inc case 
06,2020-05-16,1861,White,imputed inc case 
06,2020-05-23,2036,White,imputed inc case 
06,2020-05-30,1974,White,imputed inc case 
06,2020-06-06,2079,White,imputed inc case 
06,2020-06-13,2045,White,imputed inc case 
06,2020-06-20,2926,White,imputed inc case 
06,2020-06-27,4552,White,imputed inc case 
06,2020-07-04,6934,White,imputed inc case 
06,2020-07-11,8953,White,imputed inc case 
06,2020-07-18,8698,White,imputed inc case 
06,2020-07-25,9243,White,imputed inc case 
06,2020-08-01,7217,White,imputed inc case 
06,2020-08-08,6169,White,imputed inc case 
06,2020-08-15,8693,White,imputed inc case 
06,2020-08-22,5570,White,imputed inc case 
06,2020-08-29,5559,White,imputed inc case 
06,2020-09-05,5081,White,imputed inc case 
06,2020-09-12,4038,White,imputed inc case 
06,2020-09-19,4099,White,imputed inc case 
06,2020-09-26,4562,White,imputed inc case 
06,2020-10-03,4202,White,imputed inc case 
06,2020-10-10,4138,White,imputed inc case 
06,2020-10-17,3843,White,imputed inc case 
06,2020-10-24,5362,White,imputed inc case 
06,2020-10-31,5711,White,imputed inc case 
06,2020-11-07,7965,White,imputed inc case 
06,2020-11-14,11118,White,imputed inc case 
06,2020-11-21,16612,White,imputed inc case 
06,2020-11-28,19922,White,imputed inc case 
06,2020-12-05,27641,White,imputed inc case 
06,2020-12-12,37667,White,imputed inc case 
06,2020-12-19,50199,White,imputed inc case 
06,2020-12-26,47101,White,imputed inc case 
06,2021-01-02,47448,White,imputed inc case 
06,2021-01-09,50402,White,imputed inc case 
06,2021-01-16,47835,White,imputed inc case 
06,2021-01-23,30267,White,imputed inc case 
06,2021-01-30,26552,White,imputed inc case 
06,2021-02-06,19426,White,imputed inc case 
06,2021-02-13,14200,White,imputed inc case 
06,2021-02-20,10190,White,imputed inc case 
06,2021-02-27,8508,White,imputed inc case 
06,2021-03-06,7164,White,imputed inc case 
06,2021-03-13,7268,White,imputed inc case 
06,2021-03-20,5841,White,imputed inc case 
06,2021-03-27,5482,White,imputed inc case 
06,2021-04-03,5904,White,imputed inc case 
37,2020-03-07,1,Asian,imputed inc case 
37,2020-03-14,9,Asian,imputed inc case 
37,2020-03-21,36,Asian,imputed inc case 
