"","Asian","White","Black","Other"
"Asian",0.787833523462887,0.347974742383592,0.392403144091291,0.374862662899766
"White",5.05842755344163,6.38854530558985,4.31913902683881,5.09650442304643
"Black",2.97647765821876,2.2537177217646,4.02610731129486,2.93694267363325
"Other",2.58726126487672,2.41976223026196,2.67235051777503,3.00169024042056
